Count,Weight
1,12.6460
2,12.6220
3,12.6090
4,12.6310
5,12.6400
6,12.6400
7,12.6610
8,12.6370
9,12.6470
10,12.6120
11,12.6440
12,12.6120
13,12.6250
14,12.6250
15,12.6180
16,12.6340
17,12.6320
18,12.6320
19,12.6480
20,12.6220
